Name,OfficialName,Registry,CountryofOperator,Operator,Users,Purpose,DetailedPurpose,ClassofOrbit,TypeofOrbit,DateofLaunch,ExpectedLifetime
Astra 2C,Astra 2C,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,6/16/2001,15
Astra 2D,Astra 2D,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,12/19/2000,15
Astra 2E (Eutelsat 28E),Astra 2E,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,9/29/2013,15
Astra 2F (Eutelsat 28F),Astra 2F,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,9/28/2012,15
Astra 2G (Eutelsat 28G),Astra 2G,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,12/27/2014,15
Astra 3A,Astra 3A,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,3/29/2002,10
Astra 3B,Astra 3B,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,5/21/2010,15
Astra 5B,Astra 5B,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,3/22/2014,15
Astranis Demosat-2,Astranis Demosat-2,USA,USA,Astranis,Commercial,Technology Development,,LEO,Sun-Synchronous,1/11/2018,
Astrocast 0.1,Astrocast 0.1,NR,Switzerland,Astrocast,Commercial,Communications,,LEO,Sun-Synchronous,12/3/2018,
Astrocast 0.2,Astrocast 0.2,NR,Switzerland,Astrocast,Commercial,Communications,,LEO,Sun-Synchronous,4/1/2019,
Astrosat,Astrosat,NR,India,Telemetry Tracking and Command Network (ISTRAC) Centre,Government,Space Science,,LEO,Equatorial,9/28/2015,5
AT&T T16,AT&T T16,USA,USA,"DirecTV, Inc.",Commercial,Communications,,GEO,,6/20/2019,15
Athena,Athena,NR (12/20),USA,PointView Tech,Commercial,Communications,,LEO,Sun-Synchronous,9/2/2020,
Athena-Fidus  (Access on THeatres for European Nations Allied forces - French Italian Dual Use Satellite),Athena-Fidus,France,France/Italy,Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI),Government/Military,Communications,,GEO,,2/6/2014,15
Athenoxat-1 (Athene Noctua Experimental Satellite),Athenoxat-1,NR,Singapore,Microspace Rapid Pvt Ltd.,Commercial,Technology Development,,LEO,Equatorial,12/16/2015,
Aurora  (Tabletsat-2U-EO),Aurora,Russia,Russia,SPUTNIX Ltd.,Commercial,Technology Development,,LEO,Sun-Synchronous,6/19/2014,1
Azerspace 1/Africasat-1a,Azerspace 1/Africasat-1a,Azerbaijan,Azerbaijan,Azercosmos,Government,Communications,,GEO,,2/7/2013,15
Azerspace 2/Intelsat-38,Azerspace 2/Intelsat-38,Azerbaijan,Azerbaijan,Azercosmos,Government,Communications,,GEO,,9/25/2018,15
AztecSat-1,AztecSat-1,Mexico,USA/Mexico,Autonomous Popular University of the State of Puebla,Government/Civil,Technology Development,,LEO,Non-Polar Inclined,2/19/2020,
Badr 4 (Arabsat 4B),Badr 4,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,11/8/2006,15
Badr 5 (Arabsat 5B),Badr 5,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,6/3/2010,15
Badr 5A (Arabsat 5A),Badr 5A,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,6/26/2010,15
Badr 6 (Arabsat 4AR),Badr 6,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,7/7/2008,15
Badr 7 (Arabsat 6B),Badr 7,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,11/10/2015,15
Bangabandhu 1,Bangabandhu 1,NR,Bangladesh,Bangladesh Telecommunication Regulatory Commission (BTRC),Government,Communications,,GEO,,5/11/2018,15
BARS-M (Cosmos 2503),Cosmos 2503,Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,2/27/2015,5
BARS-M (Cosmos 2515),Cosmos 2515,Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,3/24/2016,5
BDSAGR-1,BDSAGR-1,NR (12/20),China,"GasTianta and GZH-HNJ BDS AGR Co., Ltd.",Commercial,Earth Observation,,LEO,Sun-Synchronous,12/21/2019,3
Beesat-4,Beesat-4,Germany,Germany,Technical University Berlin,Civil,Technology Development,,LEO,Sun-Synchronous,6/22/2016,
Beesat-9 (Tubsat-17),Beesat-9,Germany,Germany,Technical University Berlin,Civil,Technology Development,,LEO,Sun-Synchronous,7/5/2019,
Beidou 2-12 (Compass M3),Beidou 2-12,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,4/28/2012,8
Beidou 2-13 (Compass M4),Beidou 2-13,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,4/28/2012,8
Beidou 2-15 (Compass M6),Beidou 2-15,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,9/18/2012,8
Beidou 2-16 (Compass G-6),Beidou 2-16,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,GEO,,10/25/2012,8
Beidou 2-17 (IGSO-6),Beidou 2-17,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,GEO,,3/30/2016,8
Beidou 2-18 (Compass G-7),Beidou 2-18,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,GEO,,6/12/2016,8
Beidou 3I-1S,Beidou 3I-1S,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,GEO,,3/30/2015,8
Beidou 3I-2S,Beidou 3I-2S,NR,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,GEO,,9/29/2015,8
Beidou 3M1,Beidou 3-M1,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,,11/5/2017,8
Beidou 3M1 (Beidou 23),Beidou 3-23,NR (12/20),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,,9/22/2019,8
Beidou 3M1 (Beidou 24),Beidou 3-24,NR (12/20),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,,9/22/2019,8
Beidou 3M1 (Beidou 25),Beidou 3-25,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,,11/5/2017,8
Beidou 3M-1S,Beidou 3M-1S,NR,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,7/25/2015,8
Beidou 3M-2S,Beidou 3M-2S,NR,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,7/25/2015,8
Beidou DW 26,Beidou DW 26,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,,MEO,,1/11/2018,8
